"published","source","level","title","chapter","author","editor","collection","serie","isbn","accessibility","classification","theme","question number","question","correct answer","wrong answer 1","wrong answer 2"
1,"Médiathèque de Saint-Cloud",1,"La querelle",,"Toshi Yoshida","l'école des loisirs","les lutins",,2211070574,,"Livre illustré - album","Animaux",1,"Maman rhinocéros s'est blessée. Elle a : ","Une large plaie ","Un pied cassé","Une oreille déchirée "
1,"Médiathèque de Saint-Cloud",1,"La querelle",,"Toshi Yoshida","l'école des loisirs","les lutins",,2211070574,,"Livre illustré - album","Animaux",2,"Le petit rhinocéros joue avec : ","Un éléphanteau ","Des girafes ","Les antilopes "
1,"Médiathèque de Saint-Cloud",1,"La querelle",,"Toshi Yoshida","l'école des loisirs","les lutins",,2211070574,,"Livre illustré - album","Animaux",3,"Qui a blessé Maman rhinocéros ? ","Maman éléphant ","Maman tigre","Maman crocodile "
1,"Médiathèque de Saint-Cloud",1,"La querelle",,"Toshi Yoshida","l'école des loisirs","les lutins",,2211070574,,"Livre illustré - album","Animaux",4,"Maman rhinocéros s'est battue à cause : ","D'un simple malentendu ","Des girafes qui l'embêtent","Des lions qui attaquent son bébé"
1,"Médiathèque de Saint-Cloud",1,"La querelle",,"Toshi Yoshida","l'école des loisirs","les lutins",,2211070574,,"Livre illustré - album","Animaux",5," Qui aide Maman rhinocéros à se soigner ? ","Les pique bœufs ","Les tiques","Les suricates "
1,"Médiathèque de Saint-Cloud",1,"Léonard et Compagnie",,"Elsa Devernois, Olivier Deloye ","Bayard","Mes premiers j'aime lire ",,9782747038072,,"Fiction jeunesse - première lecture, premier roman","Vie quotidienne",1,"Léonard doit faire un devoir sur : ","Les planètes ","Les étoiles ","Les galaxies "
1,"Médiathèque de Saint-Cloud",1,"Léonard et Compagnie",,"Elsa Devernois, Olivier Deloye ","Bayard","Mes premiers j'aime lire ",,9782747038072,,"Fiction jeunesse - première lecture, premier roman","Vie quotidienne",2,"Comment s'appelle le meilleur ami de Léonard ? ","Rachid ","Merlin","Rosette "
1,"Médiathèque de Saint-Cloud",1,"Léonard et Compagnie",,"Elsa Devernois, Olivier Deloye ","Bayard","Mes premiers j'aime lire ",,9782747038072,,"Fiction jeunesse - première lecture, premier roman","Vie quotidienne",3,"Dans quoi les amis de Léonard mettent-ils leurs cadeaux ? ","Une boîte ","Un coffret ","Un sac "
1,"Médiathèque de Saint-Cloud",1,"Léonard et Compagnie",,"Elsa Devernois, Olivier Deloye ","Bayard","Mes premiers j'aime lire ",,9782747038072,,"Fiction jeunesse - première lecture, premier roman","Vie quotidienne",4,"Que veut obtenir Léonard ? ","Des images de footballeurs ","Des gâteaux","Une gomme"
1,"Médiathèque de Saint-Cloud",1,"Léonard et Compagnie",,"Elsa Devernois, Olivier Deloye ","Bayard","Mes premiers j'aime lire ",,9782747038072,,"Fiction jeunesse - première lecture, premier roman","Vie quotidienne",5,"Contre quoi Léonard échange-t-il la vignette de footballeur ? ","Un porte-clés avion ","Une voiturette bleue","Des dés "
1,"Médiathèque de Saint-Cloud",1,"L'arbre à papa",,"Agnès Martin ","Milan ",,"Quelle aventure !",2745916890,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",1,"Isabelle vit dans : ","Un château ","Un donjon ","Une grande maison "
1,"Médiathèque de Saint-Cloud",1,"L'arbre à papa",,"Agnès Martin ","Milan ",,"Quelle aventure !",2745916890,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",2,"Le sorcier transforme ses prisonniers en : ","Arbres ","Oiseaux","Statues"
1,"Médiathèque de Saint-Cloud",1,"L'arbre à papa",,"Agnès Martin ","Milan ",,"Quelle aventure !",2745916890,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",3,"En quoi se transforme l'oiseau noir ? ","En sorcier ","En magicien ","En prisonnier "
1,"Médiathèque de Saint-Cloud",1,"L'arbre à papa",,"Agnès Martin ","Milan ",,"Quelle aventure !",2745916890,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",4,"Quelle est l'arme secrète du papa d'Isabelle ? ","Ses deux bras","Son épée ","Sa baguette magique "
1,"Médiathèque de Saint-Cloud",1,"L'arbre à papa",,"Agnès Martin ","Milan ",,"Quelle aventure !",2745916890,,"Fiction jeunesse - première lecture, premier roman","Conte, légende",5,"Qui était l'arbre menteur ? ","Le sorcier ","Un soldat ","Le papa d'Isabelle "
1,"Médiathèque de Saint-Cloud",1,"Vol d'été",,"Marie-Anne Abesdris ","l'école des loisirs ",,,9782211304283,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",1,"Quelles vacances sont annoncées par la sonnerie ? ","Les vacances d'été ","Les vacances d'hiver ","Les vacances de Pâques "
1,"Médiathèque de Saint-Cloud",1,"Vol d'été",,"Marie-Anne Abesdris ","l'école des loisirs ",,,9782211304283,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",2,"Comment le petit garçon part-il en vacances ? ","En voiture ","En autocar ","En avion "
1,"Médiathèque de Saint-Cloud",1,"Vol d'été",,"Marie-Anne Abesdris ","l'école des loisirs ",,,9782211304283,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",3,"Comment s'appelle sa meilleure amie ? ","Léonie ","Guillemette ","Héloïse "
1,"Médiathèque de Saint-Cloud",1,"Vol d'été",,"Marie-Anne Abesdris ","l'école des loisirs ",,,9782211304283,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",4,"Que fait le petit garçon pour passer le temps ? ","Il compte les voitures","Il mange une glace ","Il lit un livre "
1,"Médiathèque de Saint-Cloud",1,"Vol d'été",,"Marie-Anne Abesdris ","l'école des loisirs ",,,9782211304283,,"Fiction jeunesse - première lecture, premier roman","Vacances, Fêtes",5,"Le petit garçon arrive : ","A la campagne ","A la mer","A la montagne "
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",1,"Jo rêve qu'il pourchasse : ","Des souris ","D'autres chats ","Des oiseaux "
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",2,"Pourquoi le réveil de Jo n'a-t-il pas fonctionné ? ","Jo l'avait démonté la veille ","Une souris a cassé son réveil","Son réveil n'avait plus de piles "
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",3,"Madame Chattemite réveille son fils. Pourquoi Jo sort-il vite de son lit ? ","Il a horreur d'être embrassé ","Il a hâte de prendre une douche ","Il veut prendre son petit déjeuner au lit "
1,"Médiathèque de Saint-Cloud",3,"Pas de baiser pour Maman",,"Tomi Unger","l'école des loisirs ",,,9782211041706,,"Fiction jeunesse - première lecture, premier roman","Emotion",4,"Quel est le travail de Monsieur Matou ? ","Il est contremaître dans une usine de rat en conserve ","Il est professeur à l'école de Jo","Il est boulanger et fait des choux au miel"
