school_code,postal_code,city,name
0780253B,78200,Mantes-la-Jolie,Ecole maternelle Les Pervenches
0260665G,26700,La Garde-Adhémar,Ecole privée la Garde Adhemar
0261452M,26400,La Roche-sur-Grane,Ecole primaire Le Colibri
0442820B,44800,Saint-Herblain,Ecole primaire privée Diwan
0491176M,49260,Bellevigne-les-Châteaux,Ecole primaire privée Saint Vincent
0491351C,49220,Erdre-en-Anjou,Ecole primaire privée Sainte-Marie
0540148T,54460,Aingeray,Ecole élémentaire Robert Desnos
0540149U,54170,Allain,ECOLE PRIMAIRE PUBLIQUE
0540156B,54450,Ancerviller,Ecole primaire
0540162H,54110,Anthelupt,Ecole maternelle
0540207G,54450,Barbas,Ecole élémentaire
0540439J,54122,Fontenoy-la-Joûte,Ecole élémentaire
0540678U,54150,Lubey,Ecole élémentaire
0540978V,54290,Rozelieures,École élémentaire publique
0540982Z,54950,Saint-Clément,Ecole primaire Cyfflé
0541131L,54290,Villacourt,École primaire publique
0541180P,54890,Waville,Ecole primaire
0542162G,54385,Domèvre-en-Haye,Ecole élémentaire
0542248A,54460,Aingeray,Ecole maternelle La Pastorale
0630182F,63480,Bertignat,Ecole primaire Réné Guy Cadou
0671934N,67380,Lingolsheim,Ecole maternelle Les Primevères
0790196J,79100,Luzay,Ecole primaire
0790411T,79290,Saint-Martin-de-Sanzay,Ecole primaire
0790473K,79100,Saint-Jean-de-Thouars,Ecole primaire
0790476N,79600,Plaine-et-Vallées,Ecole primaire
0790548S,79100,Thouars,Ecole primaire Paul Bert
0640746N,64410,Séby,ECOLE ELEMENTAIRE PUBLIQUE
0670340F,67850,Offendorf,Ecole maternelle Les Petits Matelots
0671352F,67230,Kertzfeld,Ecole primaire
0671354H,67230,Kogenheim,Ecole primaire René Cassin
0671364U,67230,Sermersheim,Ecole primaire
0672146U,67230,Benfeld,Ecole maternelle Vosges
0672838W,67440,Hengwiller,Ecole élémentaire
0672874K,67850,Herrlisheim,Ecole maternelle
0672934A,67850,Offendorf,Ecole élémentaire Les boutons d'or
0772439H,77600,Bussy-Saint-Georges,Ecole maternelle Jean de Lafontaine
0922885L,92230,Gennevilliers,Ecole élémentaire Anatole France A
0922886M,92230,Gennevilliers,Ecole élémentaire Anatole France B
0010607E,01300,Belley,Ecole élémentaire Jean Ferrat
0011110B,01100,Oyonnax,Ecole primaire L' Eglisette
0011224A,01200,Valserhône,Ecole primaire Marius Pinard
0011419M,01280,Prévessin-Moëns,ECOLE PRIMAIRE PUBLIQUE ALICE
0020744Y,02700,Tergnier,Ecole primaire Pasteur
0030472X,03150,Varennes-sur-Allier,Ecole élémentaire George Sand
0060268J,06130,Grasse,Ecole élémentaire Dracéa
0061027J,06100,Nice,Ecole élémentaire privée Nazareth
0061060V,06000,Nice,Ecole élémentaire privée Sasserno
0070700Y,07300,Tournon-sur-Rhône,Ecole primaire Jean Moulin
0070867E,07100,Annonay,Ecole primaire privée Sainte Claire
0071166E,07400,Le Teil,Ecole maternelle Violette/Haut Frayol
0090351H,09100,Pamiers,Ecole maternelle Les Condamines
0120924P,12150,Sévérac d'Aveyron,Ecole élémentaire publique Jean Moulin
0121424H,12000,Rodez,Ecole primaire privée  Saint-Joseph
0130252D,13100,Aix-en-Provence,Ecole élémentaire Jules Isaac
0130536M,13015,Marseille 15e  Arrondissement,Ecole élémentaire La Cabucelle
0130551D,13011,Marseille 11e  Arrondissement,Ecole élémentaire Cité Michelis 1
